ProductID,ProductName,ProductCategory,ProductSubCategory,ProductPrice,StockReceived,StockSold,StockOnHand
1,Nathaniel,Electronics,Camera,0.01,475,127,348
2,NonExistentProduct,Electronics,Mobile,847.43,487,243,244
3,Angela,InvalidCategory,Action Figures,386.57,341,188,153
4,Amy,Home & Garden,Decor,364.01,500,124,376
5,Nathaniel,Electronics,Camera,652.35,429,351,78
6,NonExistentProduct,Electronics,Mobile,847.43,79,61,18
7,Justin,Electronics,Headphones,66005.0,339,296,43
8,NonExistentProduct,Electronics,Camera,652.35,305,53,252
9,Shannon,Home & Garden,Gardening Tools,68.01,440,338,102
10,NonExistentProduct,Home & Garden,Decor,364.01,260,254,6
11,Martha,Books,Fiction,43310.0,238,161,77
12,Justin,Electronics,Headphones,660.05,121,13,108
13,Elizabeth,InvalidCategory,Shirt,840.19,290,147,143
14,Jamie,Books,Fiction,930.3,319,94,225
15,NonExistentProduct,Books,Fiction,99999.99,232,3,229
16,Jamie,Books,Fiction,930.3,250,130,120
17,Robert,Electronics,Mobile,847.43,214,113,101
18,Shawn,Electronics,Headphones,46109.0,412,41,371
19,Anthony,Books,Academic,693.39,295,93,202
20,Jamie,Books,Fiction,930.3,356,147,209
21,Pamela,Electronics,Headphones,651.11,457,133,324
22,Elizabeth,Clothing,Shirt,840.19,346,269,77
23,Fred,InvalidCategory,Academic,99999.99,321,104,217
24,NonExistentProduct,Home & Garden,Decor,InvalidPrice,210,10,200
25,Wanda,Toys,Educational,268.61,457,181,276
26,Amy,Home & Garden,Decor,99999.99,253,65,188
27,Wanda,Toys,Educational,268.61,409,46,363
28,Angela,Toys,Action Figures,386.57,486,26,460
29,NonExistentProduct,Books,Academic,951.53,209,47,162
30,Cynthia,Electronics,Headphones,872.85,100,40,60
31,Shawn,Electronics,Headphones,461.09,327,170,157
32,Marvin,Clothing,Shirt,0.01,427,169,258
33,Katie,Books,Non-fiction,642.11,58,38,20
34,Amy,Home & Garden,Decor,InvalidPrice,349,161,188
35,Martha,InvalidCategory,Fiction,433.1,225,192,33
36,NonExistentProduct,Books,Fiction,433.1,312,194,118
37,Pamela,Electronics,Headphones,65111.0,160,157,3
38,Nathaniel,Electronics,Camera,65235.0,147,69,78
39,Angela,InvalidCategory,Action Figures,386.57,322,259,63
40,Cynthia,Electronics,Headphones,872.85,154,35,119
41,NonExistentProduct,InvalidCategory,Dolls,46.23,55,26,29
42,Tammy,InvalidCategory,Furniture,99999.99,438,22,416
43,Pamela,Electronics,Headphones,651.11,280,134,146
44,Nathaniel,Electronics,Camera,99999.99,223,168,55
45,Elizabeth,Clothing,Shirt,840.19,441,107,334
46,Justin,Electronics,Headphones,660.05,143,42,101
47,Shawn,Electronics,Headphones,461.09,154,151,3
