SalesID,Date,QuantitySold,TotalAmount,DiscountAmount,NetAmount,CustomerID,SupplierID,ShipperID,ProductID
1,2023-09-14,49,31965.15,121.07,31844.08,1,37,15,4989
2,2023-02-11,73,61862.39,91.09,61771.3,2,15,12,4995
3,2021-11-12,89,34404.73,10.56,34394.17,3,22,12,4999
4,11-15-2021,3,1092.03,69.06,1022.97,4,40,18,4956
5,2023-04-22,75,48926.25,137.17,48789.08,5,37,16,4989
6,2022-12-08,63,53388.09,103.22,53284.87,6,40,10,4995
7,2023-09-13,39,25741.95,104.2,25637.75,7,40,15,4996
8,2023-07-19,60,39141.0,121.19,39019.81,8,36,17,4995
9,2023-08-20,92,6256.92,18.11,6238.81,9,27,10,4974
10,2023-07-15,55,20020.55,53.26,19967.29,10,30,12,4995
11,09-25-2023,23,9961.3,33.11,9928.19,11,28,18,4954
12,2022-05-06,1,660.05,56.28,603.77,12,26,15,4996
13,2023-09-19,93,78137.67,251.64,77886.03,13,31,17,4976
14,2022-10-19,60,55818.0,136.73,55681.27,2984,33,15,4998
15,2022-08-30,43,18623.3,37.6,18585.7,15,13,15,4995
16,2023-01-25,11,10233.3,160.82,10072.48,16,22,10,4998
17,2022-11-02,67,56777.81,104.73,56673.08,17,33,17,4994
18,2023-07-29,51,23515.59,92.28,23423.31,18,13,18,4977
19,2022-02-09,6,4160.34,128.46,4031.88,19,13,12,4990
20,2023-04-25,40,37212.0,41.4,37170.6,20,33,10,4998
21,2022-10-06,86,55995.46,127.55,55867.91,21,27,12,4963
22,2023-09-20,68,57132.920000000006,28.23,57104.69,22,29,15,4976
23,2023-05-17,8,7612.24,163.58,7448.66,1082,15,17,4923
24,2022-04-19,48,17472.48,106.46,17366.02,24,24,15,4995
25,2022-03-11,74,19877.14,58.58,19818.56,25,30,12,4991
26,2023-03-15,58,21112.58,33.66,21078.92,26,33,16,4956
27,2022-07-20,77,20682.97,26.29,20656.68,27,27,18,4991
28,2023-07-03,67,25900.19,84.23,25815.96,28,38,18,4999
29,2021-11-12,61,58043.33,76.76,57966.57,29,30,16,4995
30,2023-04-05,24,20948.4,136.32,20812.08,30,28,15,4966
31,2022-01-12,28,12910.52,51.68,12858.839999999998,31,34,18,4977
